,Twitter Account,Number of Tweets Ago,Date,Tweet,Compound Score,Positive Score,Neutral Score,Negative Score
0,BBC,1,Mon Jan 15 07:02:40 +0000 2018,Carillion to go into liquidation https://t.co/iv2ImwQJko,0.0,0.0,1.0,0.0
1,BBC,2,Sun Jan 14 13:00:52 +0000 2018,Cassie Hayes death: Tribute to Tui Southport travel agent https://t.co/pkc5DatgHK,-0.5994,0.0,0.698,0.302
2,BBC,3,Sun Jan 14 03:00:30 +0000 2018,Sturgeon: UK Brexit plan 'beggars belief' https://t.co/akMUpx7fo9,0.0,0.0,1.0,0.0
3,BBC,4,Sat Jan 13 01:26:11 +0000 2018,Nottingham railway station to reopen after huge fire https://t.co/rnRs2EoEYz,-0.0258,0.197,0.598,0.205
4,BBC,5,Fri Jan 12 19:30:34 +0000 2018,"RT @BBCSport: Ryan Giggs and Craig Bellamy have both been interviewed for the Wales manager job. 👀

➡️ https://t.co/MV9q3voeoZ https://t.co…",0.0,0.0,1.0,0.0
5,BBC,6,Fri Jan 12 14:07:13 +0000 2018,Katie Hopkins refused libel appeal bid over Jack Monroe tweets https://t.co/7ave4cP8pW,-0.296,0.0,0.82,0.18
6,BBC,7,Fri Jan 12 08:17:08 +0000 2018,"18-year-old woman dies in hospital after catching flu virus 
https://t.co/zS9XGHmYuQ",-0.3818,0.0,0.776,0.224
7,BBC,8,Thu Jan 11 22:45:15 +0000 2018,"Friday's Mirror: ""Farage: I want 2nd referendum"" https://t.co/BVmQIiezAa #bbcpapers #tomorrowspaperstoday (via @hendopolis)",0.0772,0.115,0.885,0.0
8,BBC,9,Thu Jan 11 14:54:51 +0000 2018,Motorhead guitarist 'Fast' Eddie Clarke dies at 67 https://t.co/WlOFYlQvV8,0.0,0.0,1.0,0.0
9,BBC,10,Thu Jan 11 10:52:48 +0000 2018,RT @BBCNormanS: PM hails BBCs Blue Planet and Daily Mail for highlighting problem of plastic pollution,-0.4019,0.0,0.847,0.153
10,BBC,11,Thu Jan 11 00:54:58 +0000 2018,Brexit: May to meet UK financial services chiefs https://t.co/hJohWuvstv,0.0,0.0,1.0,0.0
11,BBC,12,Wed Jan 10 17:58:54 +0000 2018,Bigamist spotted on Ant and Dec TV show with 'second wife' is jailed https://t.co/XKGaREqVlb,-0.4939,0.0,0.802,0.198
12,BBC,13,Wed Jan 10 13:43:50 +0000 2018,"Coco-nuts! Pointless packaging or is this plastic-style wrap worthwhile?

https://t.co/ByLP9Xo542 https://t.co/n2UZRi7ZBN",0.4003,0.212,0.788,0.0
13,BBC,14,Wed Jan 10 09:52:56 +0000 2018,South Wales Police want mental health lessons for young people https://t.co/ZORHUTh0vo,0.0772,0.115,0.885,0.0
14,BBC,15,Tue Jan 09 22:59:04 +0000 2018,"Wednesday's Mail: ""Massacre Of The Middle-Aged Men"" https://t.co/GDgA4lJEeQ #bbcpapers #tomorrowspaperstoday (via @AllieHBNews)",0.0,0.0,1.0,0.0
15,BBC,16,Tue Jan 09 20:30:50 +0000 2018,👀 https://t.co/sabGhUYyvo,0.0,0.0,1.0,0.0
16,BBC,17,Tue Jan 09 15:39:47 +0000 2018,"Improvements to how victims are told about attackers being released to be looked at by Government, in response to J… https://t.co/e5kUvq8g4g",-0.5719,0.087,0.684,0.228
17,BBC,18,Tue Jan 09 12:25:43 +0000 2018,RT @bbclaurak: And Jo Johnson gets moved (after Toby Young fiasco?) https://t.co/P8xDVcCi05,0.0,0.0,1.0,0.0
18,BBC,19,Tue Jan 09 09:54:10 +0000 2018,Storm Eleanor leaves 'tidal wave of waste' in Cornwall https://t.co/zUsBOvCYWZ,-0.4215,0.0,0.763,0.237
